wave;value
600,15504;1998,26
600,41344;1951,06
600,67183;1943,16
600,93023;1910,66
601,18863;1850,69
601,44703;1792,25
601,70543;1821,49
601,96382;1825,7
602,22222;1835,55
602,48062;1769,22
602,73902;1772,35
602,99742;1739,56
603,25581;1679,69
603,51421;1635,96
603,77261;1669,37
604,03101;1713,71
604,28941;1718,28
604,5478;1660,93
604,8062;1547,01
605,0646;1481,41
605,323;1385,05
605,5814;1370,67
605,83979;1337,88
606,09819;1349,21
606,35659;1353,48
606,61499;1361,93
606,87339;1322,34
607,13178;1308,7
607,39018;1280,05
607,64858;1238,79
607,90698;1151,02
608,16537;1152,4
608,42377;1119,91
608,68217;1060,53
608,94057;975,37
609,19897;957,77
609,45736;969,9
609,71576;982,11
609,97416;965,21
610,23256;959,13
610,49096;922
610,74935;862,23
611,00775;792,49
611,26615;786,03
611,52455;791,57
611,78295;798,72
612,04134;799,81
612,29974;780,66
612,55814;844,1
612,81654;915,43
613,07494;901,41
613,33333;827,76
613,59173;763,27
613,85013;714,08
614,10853;663,73
614,36693;617,34
614,62532;649,68
614,88372;657,88
615,14212;650,57
615,40052;665,15
615,65891;691,22
615,91731;699,16
616,17571;709,43
616,43411;703,62
616,69251;706,74
616,9509;686,1
617,2093;663,45
617,4677;615,26
617,7261;601,31
617,9845;593,14
618,24289;571,08
618,50129;542,27
618,75969;518,97
619,01809;547,41
619,27649;602,67
619,53488;621,89
619,79328;618,3
620,05168;633,14
620,31008;619,03
620,56848;554,44
620,82687;484,69
621,08527;481,31
621,34367;493,74
621,60207;467,26
621,86047;443,88
622,11886;488,02
622,37726;524,48
622,63566;510,66
622,89406;476,39
623,15245;477,29
623,41085;483,01
623,66925;437,96
623,92765;400,68
624,18605;452,81
624,44444;498,96
624,70284;478,28
624,96124;422,98
625,21964;454,91
625,47804;492,18
625,73643;521,46
625,99483;488,19
626,25323;453,1
626,51163;485,3
626,77003;497,19
627,02842;479,12
627,28682;438,65
627,54522;451,87
627,80362;454,2
628,06202;413,38
628,32041;355,5
628,57881;363,49
628,83721;369,43
629,09561;338,39
629,35401;294,94
629,6124;344,56
629,8708;399,14
630,1292;369,64
630,3876;296,49
630,64599;302
630,90439;336,36
631,16279;343,88
631,42119;329,03
631,67959;362,94
631,93798;407,37
632,19638;383,39
632,45478;348,3
632,71318;309,18
632,97158;354,44
633,22997;405,06
633,48837;383,71
633,74677;328,45
634,00517;346,71
634,26357;372,83
634,52196;367,95
634,78036;328,03
635,03876;369,14
635,29716;381,94
635,55556;330,33
635,81395;277,45
636,07235;281,34
636,33075;278,68
636,58915;228,43
636,84755;196,58
637,10594;242,83
637,36434;298,16
637,62274;276,29
637,88114;247,81
638,13953;287,99
638,39793;344,9
638,65633;326,49
638,91473;281,8
639,17313;290,82
639,43152;326,07
639,68992;309,54
639,94832;284,2
640,20672;252,26
640,46512;301,91
640,72351;330,3
640,98191;283,5
641,24031;240,73
641,49871;285,21
641,75711;338,09
642,0155;328,41
642,2739;300,11
642,5323;326,6
642,7907;363,88
643,0491;335,1
643,30749;290,49
643,56589;325,83
643,82429;374,31
644,08269;333,37
644,34109;252,81
644,59948;265,85
644,85788;287,65
645,11628;246,2
645,37468;204,13
645,63307;253,41
645,89147;287,78
646,14987;265,82
646,40827;252,99
646,66667;310,69
646,92506;372,1
647,18346;363,26
647,44186;330,02
647,70026;349,12
647,95866;362,24
648,21705;370,59
648,47545;320,44
648,73385;257,84
648,99225;296,08
649,25065;333,56
649,50904;297,61
649,76744;263,33
